,embedding,optimizer,loss_func,scale_factor,optimizer_lr,loss,top5_acc,top10_acc,val_loss,val_top5_acc,val_top10_acc
10,16,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207ED706170>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207ED7051E0>,0.5,0.0010000000474974,6.363337516784668,0.0308109447360038,0.058217279613018,6.446317672729492,0.032967709004879,0.0621148645877838
11,16,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207DB5CE050>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207F14D1A50>,0.5,0.0099999997764825,6.8497185707092285,0.0177162922918796,0.0352169089019298,6.847080707550049,0.0195341389626264,0.0385136790573596
12,8,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207F2A63760>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207F2A60DF0>,1.0,0.0010000000474974,6.388792514801025,0.0304566174745559,0.0599735043942928,6.508312702178955,0.033337440341711,0.0622997283935546
13,8,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207F1632710>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207F1630A30>,1.0,0.0099999997764825,6.844823360443115,0.0184557549655437,0.0354325845837593,6.795452117919922,0.0184865668416023,0.0390682779252529
14,16,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207F1632AD0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207ED6DF880>,1.0,0.0010000000474974,6.35431718826294,0.0319817587733268,0.0613445900380611,6.499858856201172,0.0312422979623079,0.0612521581351757
15,16,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x0000020780292DD0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207802923B0>,1.0,0.0099999997764825,6.84360408782959,0.0173465609550476,0.0344928503036499,6.808075428009033,0.0205200891941785,0.039807740598917
16,8,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x0000020785C2CD00>,<keras.losses.SparseCategoricalCrossentropy object at 0x0000020785C2D600>,2.0,0.0010000000474974,6.353384017944336,0.031796894967556,0.0597424209117889,6.462588787078857,0.032967709004879,0.0602662079036235
17,8,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x000002078FFA5AB0>,<keras.losses.SparseCategoricalCrossentropy object at 0x000002078FFA7BE0>,2.0,0.0099999997764825,6.839774131774902,0.0179781857877969,0.0350012332201004,6.822056770324707,0.0186714325100183,0.0368498899042606
18,16,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207914CEE90>,<keras.losses.SparseCategoricalCrossentropy object at 0x000002079158FAF0>,2.0,0.0010000000474974,6.299583911895752,0.0338150113821029,0.0643948763608932,6.475814342498779,0.0336455516517162,0.0637170299887657
19,16,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x0000020796F455A0>,<keras.losses.SparseCategoricalCrossentropy object at 0x0000020796F47F70>,2.0,0.0099999997764825,6.840360641479492,0.0177471041679382,0.0344774462282657,6.8048906326293945,0.0197190046310424,0.0385753028094768
